,Slang
0,AF
1,AMA
2,ASMR
3,Adulting
4,Aesthetic
5,And I oop
6,Asdfghjkl
7,Asdfhjkl
8,Bae
9,Basic
10,Bet
11,Big mood
12,Big yikes
13,Binge-watch
14,Bop
15,Boujee
16,Bruh
17,Cancel culture
18,Cancelled
19,Chad
20,Clapback
21,Clout
22,Collect receipts
23,Confused Mr. Krabs
24,DAE
25,DM
26,Da Vinky
27,Dank meme
28,Do it for the vine
29,Don’t @ me
30,Dope
31,Drop an F in the chat
32,Eboy
33,Egirl
34,Extra
35,FML
36,FOMO
37,FR
38,FTFY
39,Facepalm
40,FamBromance
41,Feels
42,Finna
43,Finsta
44,Flex
45,Flossing
46,G.O.A.T.
47,GIF
48,GOAT
49,Galaxy brain
50,Glow up
51,Go off
52,Goals
53,Good vibes only
54,HIFW
55,HU
56,Hangry
57,Henlo
58,High key
59,Highkey
60,Hit me in the feels
61,Hits different
62,Hot take
63,How it started vs how it’s going
64,I ain’t never seen two pretty best friends
65,I can’t even
66,I feel you
67,I'm dead
68,ICYMI
69,IDGAF
70,IMO
71,IRL
72,It’s a vibe
73,JSYK
74,Karen
75,Kiki
76,Left on read
77,Lit
78,Low key
79,Lowkey
80,MFW
81,Meme
82,No cap
83,OOTD
84,OTL
85,Ok boomer
86,"Ok, Zoomer"
87,On fleek
88,On point
89,RT
90,Ratchet
91,Real one
92,Realness
93,Receipts
94,Rona
95,SMH
96,Salty
97,Savage
98,Shook
99,Sips tea
100,Skrt
101,Sksksk
102,Slaps
103,Slay
104,Sleep on
105,Sleeping on
106,Smol
107,Snap
108,Snatched
109,Spill the tea
110,Squad
111,Stan
112,Surprised pikachu
113,Sus
114,Swag
115,Swerve
116,TBH
117,TBT
118,TIL
119,TL;DR
120,TMI
121,That’s cringe
122,That’s suspicious
123,The feels
124,Thirst trap
125,Thirsty
126,This is bomb afChill
127,Throw shade
128,Trash
129,Treat yo self
130,Turnt
131,Vibe check
132,WAP
133,Weird flex but ok
134,Whew chile
135,Wholesome meme
136,Woke
137,Ya basic
138,Yaaaas
139,Yas
140,Yas queen
141,Yeet
142,Zoomer
